,playerID,ERA,WHIP,W-L,G,debut,finalGame,weight,servingDays,debutAge,inducted
1723,jacksro03,4.193,1.3130590339892667,0.4516129032258065,282,1977-09-13,1986-10-01,190.0,3305.0,23.715068493150685,N
1724,jacksst01,5.94,1.52760736196319,0.3333333333333333,51,2009-06-01,2010-10-03,230.0,489.0,27.432876712328767,N
1725,jacksza01,6.3149999999999995,1.5664556962025316,0.4444444444444444,22,2006-06-04,2009-05-27,220.0,1088.0,23.438356164383563,N
1726,jacomja01,7.45142857142857,1.6130268199233717,0.35714285714285715,106,1994-07-02,1998-09-23,155.0,1544.0,24.515068493150686,N
1727,jaeckja01,0.0,0.875,1.0,4,1964-09-19,1964-10-02,170.0,13.0,22.731506849315068,N
1728,jakubch01,12.68,1.457831325301205,0.4444444444444444,70,2009-04-08,2011-09-25,215.0,900.0,31.28767123287671,N
1729,jamesbo01,6.3370000000000015,1.3120393120393121,0.48,279,1978-09-07,1987-10-02,215.0,3312.0,20.695890410958903,N
1730,jamesch03,4.962000000000001,1.3773006134969323,0.5581395348837209,77,2005-09-28,2011-07-25,190.0,2126.0,24.756164383561643,N
1731,jamesde01,6.55,1.6019417475728155,0.0,8,2002-04-16,2002-09-29,222.0,166.0,24.304109589041097,N
1732,jamesje01,4.835,1.4085778781038374,0.5,35,1968-04-13,1969-10-01,195.0,536.0,27.2986301369863,N
1733,jamesjo01,2.415,1.6050420168067228,0.625,73,1958-09-06,1961-10-01,160.0,1121.0,25.695890410958903,N
1734,jamesmi01,3.817142857142857,1.3821656050955413,0.5333333333333333,289,1995-04-29,2002-05-05,216.0,2563.0,28.34246575342466,N
1735,jamesri01,13.5,2.357142857142857,0.0,3,1967-09-20,1967-10-01,205.0,11.0,20.731506849315068,N
1736,janesje01,4.19,1.5499999999999998,0.32352941176470584,62,1970-04-10,1972-05-28,205.0,779.0,24.28767123287671,N
1737,jansela01,4.007777777777778,1.2239003209363788,0.5781990521327015,291,1947-04-17,1956-09-25,190.0,3449.0,27.30958904109589,N
1738,janzema01,5.465,1.7128378378378377,0.46153846153846156,27,1996-05-12,1997-09-27,197.0,503.0,23.375342465753423,N
1739,jarvike01,9.058125000000002,1.535866780529462,0.40963855421686746,191,1994-04-06,2006-09-24,200.0,4554.0,25.276712328767122,N
1740,jarvipa01,3.50125,1.2149532710280373,0.5379746835443038,249,1966-08-04,1973-09-23,180.0,2607.0,25.605479452054794,N
1741,jarvira01,4.345,1.5386819484240686,0.4166666666666667,44,1969-04-15,1970-09-13,198.0,516.0,23.301369863013697,N
1742,jastela01,4.118571428571428,1.265886287625418,0.5147058823529411,139,1965-09-17,1972-10-04,190.0,2574.0,21.726027397260275,N
1743,jayjo01,3.692857142857143,1.336710497952145,0.5210526315789473,310,1953-07-21,1966-10-02,228.0,4821.0,18.564383561643837,N
1744,jeando01,4.46,1.3884297520661157,0.5,10,1993-08-08,1993-10-03,175.0,56.0,24.616438356164384,N
1745,jeffcha01,4.672857142857143,1.4763271162123384,0.513157894736842,918,1948-04-20,1959-08-06,185.0,4125.0,24.317808219178083,N
1746,jeffcmi01,6.281818181818181,1.4499999999999997,0.4901960784313726,255,1983-08-21,1994-06-24,187.0,3960.0,24.65205479452055,N
1747,jeffeje01,4.465454545454545,1.5391464537918331,0.325,237,1973-06-23,1981-09-30,188.0,3021.0,24.49041095890411,N
